history,horizon,station,seed,arm,sse,element_count,rmse,mae,smape_percent
24,1,9039,7005,degraded_patchtst,57583.4378805347,1728,5.772672584986748,3.3615305909404047,8.57440963434905
24,1,9039,7005,st_sparse_station_bias_delta_forecast,56787.67663445891,1728,5.732646752861164,3.3403469180619276,8.572192045233407
24,1,9045,7001,degraded_patchtst,421598.10000916827,1728,15.619871380704456,10.145467653318688,29.383932732917216
24,1,9045,7001,st_sparse_station_bias_delta_forecast,402111.114370493,1728,15.254612128357374,9.910292903582254,28.418476084769217
24,1,9045,7002,degraded_patchtst,404683.77053584135,1728,15.303332866989177,9.880446687892631,28.04190140999816
24,1,9045,7002,st_sparse_station_bias_delta_forecast,402529.6493133717,1728,15.262548899453236,9.88755065313092,28.08395503690025
24,1,9045,7003,degraded_patchtst,432551.6732483969,1728,15.821480820456774,10.281275635516202,29.15296414836473
24,1,9045,7003,st_sparse_station_bias_delta_forecast,424049.19675549335,1728,15.665211160880807,10.211722601343084,29.010006844435527
24,1,9045,7004,degraded_patchtst,414705.6971910737,1728,15.49166624064374,10.011358309675146,28.780129323363614
24,1,9045,7004,st_sparse_station_bias_delta_forecast,407558.245001471,1728,15.357586589608824,9.943688463281703,28.627499569629002
24,1,9045,7005,degraded_patchtst,425772.74857533834,1728,15.697014574009101,10.109344011103666,29.290589486155817
24,1,9045,7005,st_sparse_station_bias_delta_forecast,414356.28077725956,1728,15.48513849917694,9.989108858285126,28.714103405723495
24,1,9046,7001,degraded_patchtst,167620.6421172947,1728,9.848994182680356,5.409658441940944,15.281483633875634
24,1,9046,7001,st_sparse_station_bias_delta_forecast,164009.52878181485,1728,9.742326300670463,5.4348674813906355,15.493377125880922
24,1,9046,7002,degraded_patchtst,167690.70284499004,1728,9.851052269330062,5.490412526660496,15.690326469894838
24,1,9046,7002,st_sparse_station_bias_delta_forecast,161407.80464799935,1728,9.664744919369632,5.443778541353014,15.799643014032569
24,1,9046,7003,degraded_patchtst,166652.80725732492,1728,9.820519171226815,5.530872080061171,15.79291877880586
