history,horizon,station,seed,quantile_bin,count,base_smape_percent,spatial_smape_percent,smape_change_percent_points,base_rmse,spatial_rmse,base_mae,spatial_mae
24,1,9038,7001,1,346,31.44589162375981,30.677337414527127,-0.7685542092326827,5.624789612491962,5.269177712914287,3.9975593324341525,3.88480431220435
24,1,9038,7001,2,412,17.397855349367532,15.856648370406404,-1.541206978961128,5.597955733002371,5.043793679217272,4.148378798105185,3.8163855098983617
24,1,9038,7001,3,438,14.235555644890466,13.715856412567176,-0.5196992323232905,6.293392297980936,5.99814255137084,4.735651787013223,4.573017555829052
24,1,9038,7001,4,340,11.594268752275998,11.206248478349698,-0.38802027392629945,8.012116002910696,7.643754885856618,5.588076585881851,5.390162024778478
24,1,9038,7001,5,192,12.314241193074626,12.35450487504538,0.040263681970754917,12.884194272768198,12.69580896749088,9.103241483370462,9.041838447252909
24,1,9038,7002,1,346,32.10657779926847,31.675110238225052,-0.4314675610434193,5.859315553760886,5.383680213370432,4.186982270610126,4.011586690913735
24,1,9038,7002,2,412,17.253884397701245,16.234835559622944,-1.0190488380783016,5.720886150282598,5.200169179024926,4.177547950189091,3.923414684036403
24,1,9038,7002,3,438,14.521624354537902,14.519134674429102,-0.0024896801088001297,6.542583296689934,6.312803141542424,4.897230087349948,4.858022167258067
24,1,9038,7002,4,340,11.445062627034943,10.856700466104673,-0.58836216093027,8.118725733839142,7.569255873789175,5.596740941440358,5.269727538613712
24,1,9038,7002,5,192,11.97178405667208,12.422574988476946,0.45079093180486574,12.64862934583037,12.567416517986675,8.874914705753326,9.044175704320272
24,1,9038,7003,1,346,31.645017095427942,30.664256497743498,-0.9807605976844442,5.684353378391305,5.238491468969102,4.038964277057978,3.854516194734959
24,1,9038,7003,2,412,17.5717886800505,16.090389560621237,-1.4813991194292626,5.688528637938592,5.10833435945102,4.215777971212146,3.869411241660998
24,1,9038,7003,3,438,14.309222256213742,14.037558181131782,-0.27166407508195967,6.332749529197639,6.123518887894449,4.766439307225894,4.672118230497456
24,1,9038,7003,4,340,11.559740912632543,11.15123348267057,-0.40850742996197376,7.878933918788998,7.533629190595435,5.565497190812055,5.370379762088551
24,1,9038,7003,5,192,12.099581846139317,12.302951719490196,0.2033698733508782,12.700990848275168,12.583289593970042,8.943831384181976,8.976761837800344
24,1,9038,7004,1,346,31.593415426842085,30.86292914096195,-0.7304862858801364,5.6590264099168,5.284155861398675,4.0317539424565485,3.903672422287781
24,1,9038,7004,2,412,17.305624452618314,15.960026867570582,-1.3455975850477326,5.594027734732397,5.076045420477785,4.135370435066593,3.834715065446872
24,1,9038,7004,3,438,14.320026485161389,13.867066276764772,-0.45296020839661644,6.321852125150337,6.03159420385515,4.765590058069796,4.619792589858243
24,1,9038,7004,4,340,11.432411389711394,10.992429548574671,-0.43998184113672245,7.947426579622056,7.59781222440261,5.515587767432717,5.28920041252585
24,1,9038,7004,5,192,12.493902408217943,12.733797095484817,0.23989468726687413,12.91363761599364,12.789244732883702,9.198209683100382,9.269253015518188
24,1,9038,7005,1,346,31.496690322804817,31.027107007175207,-0.46958331562960964,5.622217725599988,5.28510929526985,3.9776528143469307,3.9195131456231795
24,1,9038,7005,2,412,17.452020310167583,15.885399262410049,-1.5666210477575344,5.661113999048229,5.111400052546784,4.171347122747921,3.8380310141924516
