history,horizon,station,seed,arm,peak_threshold_ugm3,coverage_count,sse,element_count,rmse,mae,smape_percent
24,1,9046,7001,st_sparse_station_bias_delta_forecast,86.0,115,71315.41299675491,115,24.902490358571335,16.236633665665337,15.581770084600208
24,1,9046,7002,degraded_patchtst,86.0,115,70040.48999304301,115,24.67889258191986,15.711126244586447,15.075538429738028
24,1,9046,7002,st_sparse_station_bias_delta_forecast,86.0,115,68447.82106166802,115,24.396689201908206,15.74222650942595,15.059742989612884
24,1,9046,7003,degraded_patchtst,86.0,115,69236.68212944585,115,24.5368723653493,15.548847065801207,14.878044909615218
24,1,9046,7003,st_sparse_station_bias_delta_forecast,86.0,115,68373.96718743224,115,24.383523871919216,15.794060516357423,15.102885898796032
24,1,9046,7004,degraded_patchtst,86.0,115,71178.41590193172,115,24.878559985926017,15.863238425876784,15.197620959796135
24,1,9046,7004,st_sparse_station_bias_delta_forecast,86.0,115,71046.81089467302,115,24.855549794881874,16.080924921450407,15.335988076655275
24,1,9046,7005,degraded_patchtst,86.0,115,70476.00367616735,115,24.75550069328771,15.893914629065472,15.249529013012374
24,1,9046,7005,st_sparse_station_bias_delta_forecast,86.0,115,68478.11184991666,115,24.402086840538626,15.859511864703634,15.175672105140622
168,6,9020,7001,degraded_patchtst,71.0,426,452140.3003748417,426,32.5785544101128,25.60725052703714,34.84073687941231
168,6,9020,7001,st_sparse_station_bias_delta_forecast,71.0,426,459370.45329382055,426,32.83800233575932,26.60847469562656,35.87538452331277
168,6,9020,7002,degraded_patchtst,71.0,426,491556.55530043086,426,33.96893621333763,27.026848806461818,36.40516040790444
168,6,9020,7002,st_sparse_station_bias_delta_forecast,71.0,426,475915.02166081686,426,33.424114234326915,26.902573415371172,36.109717865400306
168,6,9020,7003,degraded_patchtst,71.0,426,475239.8018258492,426,33.40039504650442,26.633710135876292,36.16819320974945
168,6,9020,7003,st_sparse_station_bias_delta_forecast,71.0,426,499970.2635036574,426,34.258416720650835,27.83432945735018,37.79703753945974
168,6,9020,7004,degraded_patchtst,71.0,426,433018.7690833259,426,31.88222049612724,24.786605678253892,33.48627281796878
168,6,9020,7004,st_sparse_station_bias_delta_forecast,71.0,426,466549.59700847697,426,33.09360735002667,26.410397489305954,35.739893031371615
168,6,9020,7005,degraded_patchtst,71.0,426,470706.5612106029,426,33.240712678395035,26.539500975273025,35.89426386520201
168,6,9020,7005,st_sparse_station_bias_delta_forecast,71.0,426,488773.78354157053,426,33.87264824889483,27.453086503794495,37.06049731243265
168,6,9026,7001,degraded_patchtst,74.0,354,558880.3260930802,354,39.73358759681519,28.066627173773988,37.5345544624147
168,6,9026,7001,st_sparse_station_bias_delta_forecast,74.0,354,568416.3651172717,354,40.07113607896536,28.728499164689058,38.69919888565022
168,6,9026,7002,degraded_patchtst,74.0,354,582770.1625752497,354,40.57392508872201,29.824905530207573,40.35040129784069
168,6,9026,7002,st_sparse_station_bias_delta_forecast,74.0,354,540507.2540930093,354,39.07501311554805,28.184829523334397,37.530984165141525
168,6,9026,7003,degraded_patchtst,74.0,354,561428.095043966,354,39.824051410493965,28.108594835141286,37.477828307781884
168,6,9026,7003,st_sparse_station_bias_delta_forecast,74.0,354,537924.0747797417,354,38.98152810339926,27.354043788155593,36.13616699267019
168,6,9026,7004,degraded_patchtst,74.0,354,563371.3971764256,354,39.89291446851386,29.28913072273556,39.628815517762725
168,6,9026,7004,st_sparse_station_bias_delta_forecast,74.0,354,577354.34548566,354,40.38495361855763,30.075534890600515,40.99078487644519
168,6,9026,7005,degraded_patchtst,74.0,354,593939.6482499776,354,40.960903512073074,29.87743156239138,40.623020894001506
168,6,9026,7005,st_sparse_station_bias_delta_forecast,74.0,354,565918.8773400162,354,39.983007596236725,29.130644733622923,39.20870839364575
168,6,9032,7001,degraded_patchtst,80.0,564,1039092.9531384264,564,42.92276076965936,36.10818070891901,38.107008558099686
168,6,9032,7001,st_sparse_station_bias_delta_forecast,80.0,564,1022130.2799682366,564,42.57097286227008,35.98590219443572,37.69268445596878
168,6,9032,7002,degraded_patchtst,80.0,564,1088000.1088720385,564,43.921272832420584,36.93299644551379,39.046913654377526
168,6,9032,7002,st_sparse_station_bias_delta_forecast,80.0,564,997108.5454981457,564,42.04667588538833,35.1612513183702,36.692734373648214
168,6,9032,7003,degraded_patchtst,80.0,564,1080528.3530570567,564,43.77020005919246,36.73045582128755,38.84935811541047
168,6,9032,7003,st_sparse_station_bias_delta_forecast,80.0,564,1038981.4112695964,564,42.920456926953065,36.00269149888492,37.57525956889013
168,6,9032,7004,degraded_patchtst,80.0,564,1025541.7086809839,564,42.641955430181035,35.58965820285445,37.33667329317133
168,6,9032,7004,st_sparse_station_bias_delta_forecast,80.0,564,1010938.1382395623,564,42.33725909310798,35.58844215650085,37.12345386330014
168,6,9032,7005,degraded_patchtst,80.0,564,1011652.797228884,564,42.352221115126255,35.507637669854134,37.50977551510282
168,6,9032,7005,st_sparse_station_bias_delta_forecast,80.0,564,973685.9039647363,564,41.54989105576555,34.820277143031994,36.41550961223401
168,6,9033,7001,degraded_patchtst,79.0,552,1063489.3607565581,552,43.89317897795586,32.773418025694035,35.754830239909545
168,6,9033,7001,st_sparse_station_bias_delta_forecast,79.0,552,1088574.0695090801,552,44.407819961672665,33.662807861963906,36.43911306349852
168,6,9033,7002,degraded_patchtst,79.0,552,1157629.7831755753,552,45.794709348390654,35.363858464835346,38.80714228249638
168,6,9033,7002,st_sparse_station_bias_delta_forecast,79.0,552,1109574.0530732097,552,44.834115606690354,34.63120811227439,37.523105410230194
