history,horizon,station,seed,block,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,rmse_reduction_percent
24,1,9033,7004,4,8.089088014649082,5.2484522029331755,16.99749748796247,7.103926439844079,4.766247209821429,15.973953043329224,12.178895482666364
24,1,9033,7004,5,8.76970083208368,5.139297496250697,11.141327687337716,7.92983687327361,4.729396792820522,10.362467445479224,9.576882665568867
24,1,9033,7005,1,7.7201153303971175,4.985149062737048,18.08554936978729,6.914797306215449,4.459563404048255,16.33173741822623,10.43142478728027
24,1,9033,7005,2,17.615806636384328,7.667442104415676,21.21407138254913,16.96171486157672,7.30803751605868,19.369913464878124,3.713095791234576
24,1,9033,7005,3,6.940652583844497,4.911926721845354,13.082491197171914,6.260421236473272,4.510465294974191,12.065687949260983,9.800682848678736
24,1,9033,7005,4,8.106238764199206,5.246746450151716,17.206850632603405,7.198900620499136,4.7660529381888255,15.935215836539967,11.193084364937333
24,1,9033,7005,5,8.922260541243913,5.165715468270438,11.167040039563284,8.139357926743738,4.795985608782087,10.461409668391164,8.77471141849244
24,1,9038,7001,1,7.2909260886572085,4.6168391376460365,16.910586949088973,7.0163427183781035,4.634279595237989,17.175319957892867,3.7660972960113464
24,1,9038,7001,2,7.06473924126172,5.025252480792184,23.259101261882932,6.732529371711722,4.857012593848074,22.31206690027223,4.7023656246181185
24,1,9038,7001,3,6.474408880846832,4.996759480067662,15.630614217766684,6.1533844396642365,4.726108082362583,14.7310300275231,4.958359088692693
24,1,9038,7001,4,6.268866508785322,4.68680116380964,18.350729323239463,5.816606956759751,4.3674637276785715,17.033965263095173,7.21437522065218
24,1,9038,7001,5,9.49841581354257,6.147014961242676,14.293077852689587,9.18953913650863,5.9576911435808455,13.632625546979831,3.25187571377484
24,1,9038,7002,1,7.388877583982002,4.702183790527717,16.9068908831315,7.059760467415087,4.846331033502515,18.08799287749557,4.454223430097053
