task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F11,NO2,0,4,0.032823290675878525,0.0033071439247578382
168h_6h,2060,F11,NO2,0,5,0.13755585253238678,0.030594395473599434
168h_6h,2060,F11,NO2,0,6,0.011946097947657108,0.003416944993659854
168h_6h,2060,F11,NO2,1,1,0.21744592487812042,0.14725810289382935
168h_6h,2060,F11,NO2,1,2,0.02535480260848999,0.007994703017175198
168h_6h,2060,F11,NO2,1,3,0.0025288041215389967,0.0007049632258713245
168h_6h,2060,F11,NO2,1,4,0.04645693674683571,0.008976692333817482
168h_6h,2060,F11,NO2,1,5,0.04113354906439781,0.004979408346116543
168h_6h,2060,F11,NO2,1,6,0.04914197698235512,0.016300175338983536
168h_6h,2060,F11,NO2,2,1,0.01107314508408308,0.0038064527325332165
168h_6h,2060,F11,NO2,2,2,0.0029382731299847364,0.0006320386892184615
168h_6h,2060,F11,NO2,2,3,0.012124980799853802,0.0008504207362420857
168h_6h,2060,F11,NO2,2,4,0.018426790833473206,0.0023694161791354418
168h_6h,2060,F11,NO2,2,5,0.03083176352083683,0.006402296479791403
168h_6h,2060,F11,NO2,2,6,0.059908151626586914,0.023860007524490356
168h_6h,2060,F11,NO2,3,1,0.014760516583919525,0.004123849328607321
168h_6h,2060,F11,NO2,3,2,0.0030252328142523766,0.0008179308497346938
168h_6h,2060,F11,NO2,3,3,0.006555009167641401,0.000522831454873085
