task,seed,variant,scenario,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
168h_6h,2062,F01,ordinary,3204,37.22114400869148,22.733010858781032,60.79330940027392,8.865136120352108
168h_6h,2062,F11,high_pollution,1152,66.6694471384858,50.62621882557869,21.4336683334108,-37.498197903235756
168h_6h,2062,F11,rapid_rise,750,63.540699530424526,49.3529350789388,38.42740637543479,-44.70162211100261
168h_6h,2062,F11,decline,630,79.03213377504677,58.65954431806292,50.387662350588535,39.12583420163109
168h_6h,2062,F11,ordinary,3204,36.77243793140568,22.657105945915767,60.87235679344849,9.51643265499158
168h_6h,2062,B1,high_pollution,1152,66.35864116240647,50.37416296535068,21.362955620109755,-36.79570775561862
168h_6h,2062,B1,rapid_rise,750,63.35285175121853,49.229360361735026,38.09261270200433,-44.683192545572915
168h_6h,2062,B1,decline,630,79.52073879333254,58.86066011701311,50.417664759698596,39.4306647164481
168h_6h,2062,B1,ordinary,3204,36.846972984388096,22.64202401998189,60.18394375910846,9.751764721340603
168h_6h,2062,B2,high_pollution,1152,66.78615207416175,50.901541064182915,21.603967074064098,-38.06474056839943
168h_6h,2062,B2,rapid_rise,750,63.84772263155965,49.75368112691243,38.919185792606434,-45.46991488138835
168h_6h,2062,B2,decline,630,78.94148524007059,58.397000921340215,50.25885475358442,38.547584170386905
168h_6h,2062,B2,ordinary,3204,36.70848555577756,22.522077837835685,61.01817681568998,8.860344491499045
168h_6h,2062,B_flat,high_pollution,1152,66.49662290123425,50.82454279727406,21.484593000808047,-37.787210527393555
168h_6h,2062,B_flat,rapid_rise,750,63.158728436020574,49.05148722330729,38.01234585392449,-44.408746215820315
168h_6h,2062,B_flat,decline,630,78.856403992785,58.74292936779204,50.51563016163871,39.121231406075616
168h_6h,2062,B_flat,ordinary,3204,36.585760652818706,22.45010264297847,61.26531871891034,9.209185977702433
168h_6h,2062,B3,high_pollution,1152,66.59555781855484,50.67855588926209,21.493541032819866,-37.64709835913446
168h_6h,2062,B3,rapid_rise,750,63.56996127302513,49.4465139465332,38.62553957762611,-45.01672146606445
168h_6h,2062,B3,decline,630,79.18677131846282,58.69888278416225,50.40319387044166,39.07673563276018
168h_6h,2062,B3,ordinary,3204,36.93113337313954,22.724680891048894,61.2587602456515,9.410481455323104
