task,seed,variant,horizon_step,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
168h_6h,2062,F00,4,871,55.73834699451552,38.060361040993484,57.11951908984361,-1.2072640866828155
168h_6h,2062,F00,5,871,61.99538351537419,44.0452331823268,64.12716651087577,-1.4242882887339894
168h_6h,2062,F00,6,871,66.93143318094093,48.16798435040374,66.91907946454485,-2.4516565649161803
168h_6h,2062,F10,1,871,24.654119695434645,15.02822796704438,29.99658814003802,1.035160502664805
168h_6h,2062,F10,2,871,38.37346178580298,24.28790023926342,40.901275469021655,0.8605301831811495
168h_6h,2062,F10,3,871,48.06460007111299,31.790125613645078,50.12079957122451,0.5006835096602325
168h_6h,2062,F10,4,871,55.06433069209203,37.783066798844104,56.77131578026792,-0.13984024538375245
168h_6h,2062,F10,5,871,61.31855283576115,43.81926485974808,63.339678415865606,-0.10150077723471425
168h_6h,2062,F10,6,871,66.3615143344034,48.05869017293341,66.3132488388329,-1.0275190246091508
168h_6h,2062,F01,1,871,24.532179079715625,14.852258285890354,29.14177673335422,1.2149387232608557
168h_6h,2062,F01,2,871,38.49545042090553,23.963942833253356,40.37890778826493,0.8247165877017033
168h_6h,2062,F01,3,871,48.52597408892254,31.727018831518023,50.30362998308813,0.19526421407881295
168h_6h,2062,F01,4,871,55.61753789328289,37.75270029324204,56.725692649500544,-0.09557256249691674
168h_6h,2062,F01,5,871,61.8550190578506,43.81414366151654,63.705793981402515,-0.36688206581790184
168h_6h,2062,F01,6,871,66.78937062838727,48.27569052765208,66.57445410574758,-0.6534293313798346
168h_6h,2062,F11,1,871,24.478404515892777,14.819244989160829,29.932682482528183,0.6578346979467518
168h_6h,2062,F11,2,871,38.28936768956387,24.18189921855379,40.05188020714859,1.044862031115456
168h_6h,2062,F11,3,871,47.91673181817985,31.57084291372726,51.255977167285714,-0.937467923257436
168h_6h,2062,F11,4,871,54.87824592644413,37.59933516352376,55.65810972917459,0.4605962970089825
168h_6h,2062,F11,5,871,61.28279264066968,43.92146988002633,63.46730665156962,0.7092303112919102
168h_6h,2062,F11,6,871,66.08454228657035,47.87302121886156,66.12715667653293,-0.16799528207351913
168h_6h,2062,B1,1,871,24.445701565899626,14.759944815038951,28.811172515694516,1.1123769521439526
168h_6h,2062,B1,2,871,38.33059012063496,24.130733525027637,40.32417966185539,0.834269548803739
168h_6h,2062,B1,3,871,47.98217633100622,31.601084878879902,49.36312706604097,0.5126093219533715
168h_6h,2062,B1,4,871,54.95740669640708,37.60319651309165,56.10780870380345,0.18709763922182182
168h_6h,2062,B1,5,871,61.197645046780174,43.6842474734879,62.98061023256797,0.4842446564806862
168h_6h,2062,B1,6,871,66.1792878276206,47.91611007707949,66.03421225456245,0.3234406218326189
168h_6h,2062,B2,1,871,24.505750706273954,14.89533275687462,30.283324230846624,0.11473499565255868
168h_6h,2062,B2,2,871,38.269016369033366,24.22245817042109,40.753642468724216,0.45558651333972044
168h_6h,2062,B2,3,871,48.083787726721305,31.708370808755763,50.168743203802826,-1.0092386186601925
168h_6h,2062,B2,4,871,54.789019676593085,37.52239639860344,57.24811072260055,-0.9470011626811853
168h_6h,2062,B2,5,871,61.322703264838886,43.64154898011726,63.015429085631446,-0.2140737417507937
168h_6h,2062,B2,6,871,66.0649021773166,47.82746969106961,66.01490006936702,-0.5518722665569954
168h_6h,2062,B_flat,1,871,24.432289822381236,14.940368166199782,30.65376439967857,0.9432758414512662
168h_6h,2062,B_flat,2,871,38.106877129114636,24.10052272564508,41.2900653543428,0.7506005454692994
168h_6h,2062,B_flat,3,871,47.75898252336534,31.53708674083758,50.234474894833404,0.39311280453109276
168h_6h,2062,B_flat,4,871,54.72195966343507,37.50107666436074,56.783537905888856,-0.23070727588114884
168h_6h,2062,B_flat,5,871,60.94385312678844,43.486012967938535,62.88113644006139,-0.1908509290587891
168h_6h,2062,B_flat,6,871,65.99331207592786,47.7754228375125,65.9707688037035,-1.0977414565847334
168h_6h,2062,B3,1,871,24.5367682058467,14.865397417175783,29.837528988151696,0.7857817596190283
168h_6h,2062,B3,2,871,38.298815502611745,24.165336696480228,41.3637893051837,0.29319327843859827
168h_6h,2062,B3,3,871,48.003337537239545,31.664484267119835,50.49867219918751,-0.041938295594313627
168h_6h,2062,B3,4,871,54.99708556257514,37.6849994900306,56.814368777025635,-0.20838437261044943
168h_6h,2062,B3,5,871,61.26070482450337,43.80753399118627,63.350492228751556,0.13094793203640737
168h_6h,2062,B3,6,871,66.33952413004934,48.163857877186054,66.28313792400544,-0.01885231710055118
