task,seed,comparison,candidate,baseline,metric,baseline_error,candidate_error,absolute_improvement,relative_improvement_percent,improved
24h_1h,2062,spatial_gain_without_adapter,F10,F00,smape_percent,22.271520590410752,22.62558146731875,-0.35406087690799737,-1.5897472086411655,False
24h_1h,2062,M_vs_locked_ST,F11,F10,rmse_ugm3,22.54460435781049,22.429261530782213,0.11534282702827525,0.5116205420935461,True
24h_1h,2062,M_vs_locked_ST,F11,F10,mae_ugm3,12.70484791934218,12.598238069717198,0.10660984962498254,0.8391273181843997,True
24h_1h,2062,M_vs_locked_ST,F11,F10,smape_percent,22.62558146731875,22.28956459278375,0.33601687453499807,1.4851192886262552,True
24h_1h,2062,combined_vs_degraded,F11,F00,rmse_ugm3,23.72434618450961,22.429261530782213,1.2950846537273968,5.45888448792321,True
24h_1h,2062,combined_vs_degraded,F11,F00,mae_ugm3,12.946541633780145,12.598238069717198,0.34830356406294705,2.6903212758699406,True
24h_1h,2062,combined_vs_degraded,F11,F00,smape_percent,22.271520590410752,22.28956459278375,-0.0180440023729993,-0.08101827757898285,False
24h_1h,2062,M_vs_self_history,F11,B1,rmse_ugm3,22.49055588763957,22.429261530782213,0.06129435685735629,0.2725337566735851,True
24h_1h,2062,M_vs_self_history,F11,B1,mae_ugm3,12.629961140079585,12.598238069717198,0.03172307036238742,0.25117314305677685,True
24h_1h,2062,M_vs_self_history,F11,B1,smape_percent,22.51049890996691,22.28956459278375,0.2209343171831577,0.981472325721467,True
24h_1h,2062,M_vs_recent_only,F11,B2,rmse_ugm3,22.282781664807032,22.429261530782213,-0.1464798659751807,-0.6573679542286589,False
24h_1h,2062,M_vs_recent_only,F11,B2,mae_ugm3,12.461911606462035,12.598238069717198,-0.13632646325516262,-1.0939450347607305,False
24h_1h,2062,M_vs_recent_only,F11,B2,smape_percent,21.937357234775803,22.28956459278375,-0.35220735800794856,-1.605514074638025,False
24h_1h,2062,M_vs_flat,F11,B_flat,rmse_ugm3,22.287651111277082,22.429261530782213,-0.1416104195051311,-0.635376149770575,False
24h_1h,2062,M_vs_flat,F11,B_flat,mae_ugm3,12.543266013332698,12.598238069717198,-0.05497205638449998,-0.438259511725799,False
24h_1h,2062,M_vs_flat,F11,B_flat,smape_percent,22.624669898953833,22.28956459278375,0.3351053061700817,1.4811500351904672,True
24h_1h,2062,M_vs_uniform_gate,F11,B3,rmse_ugm3,22.54351384634673,22.429261530782213,0.1142523155645172,0.506807928627472,True
24h_1h,2062,M_vs_uniform_gate,F11,B3,mae_ugm3,12.736751290761173,12.598238069717198,0.13851322104397568,1.087508249803454,True
24h_1h,2062,M_vs_uniform_gate,F11,B3,smape_percent,22.779678820557,22.28956459278375,0.49011422777324753,2.151541431440004,True
168h_6h,2060,adapter_gain_without_spatial,F01,F00,rmse_ugm3,51.52961004306552,51.200773159710515,0.3288368833550024,0.6381513135460937,True
168h_6h,2060,adapter_gain_without_spatial,F01,F00,mae_ugm3,34.31505618440298,33.93668321389784,0.37837297050513996,1.1026441818187074,True
168h_6h,2060,adapter_gain_without_spatial,F01,F00,smape_percent,52.23687390710725,52.02318794078366,0.21368596632359527,0.4090711222566509,True
168h_6h,2060,spatial_gain_without_adapter,F10,F00,rmse_ugm3,51.52961004306552,51.0198440154861,0.5097660275794169,0.9892681647568912,True
168h_6h,2060,spatial_gain_without_adapter,F10,F00,mae_ugm3,34.31505618440298,33.83744295137028,0.47761323303269876,1.3918474458153023,True
168h_6h,2060,spatial_gain_without_adapter,F10,F00,smape_percent,52.23687390710725,52.409617672939824,-0.17274376583257123,-0.3306931539198942,False
168h_6h,2060,M_vs_locked_ST,F11,F10,rmse_ugm3,51.0198440154861,50.67266713301023,0.3471768824758712,0.680474213857832,True
168h_6h,2060,M_vs_locked_ST,F11,F10,mae_ugm3,33.83744295137028,33.51127813129739,0.32616482007288994,0.9639168673047784,True
168h_6h,2060,M_vs_locked_ST,F11,F10,smape_percent,52.409617672939824,51.41362488269118,0.9959927902486427,1.9004007937323584,True
168h_6h,2060,combined_vs_degraded,F11,F00,rmse_ugm3,51.52961004306552,50.67266713301023,0.8569429100552881,1.6630106638476478,True
168h_6h,2060,combined_vs_degraded,F11,F00,mae_ugm3,34.31505618440298,33.51127813129739,0.8037780531055887,2.342348060822716,True
168h_6h,2060,combined_vs_degraded,F11,F00,smape_percent,52.23687390710725,51.41362488269118,0.8232490244160715,1.5759921351343764,True
168h_6h,2060,M_vs_self_history,F11,B1,rmse_ugm3,50.70890205134335,50.67266713301023,0.03623491833312187,0.07145672035342748,True
168h_6h,2060,M_vs_self_history,F11,B1,mae_ugm3,33.491160663936135,33.51127813129739,-0.02011746736125275,-0.060067990963704014,False
168h_6h,2060,M_vs_self_history,F11,B1,smape_percent,51.33520627159858,51.41362488269118,-0.07841861109260151,-0.15275795460470748,False
168h_6h,2060,M_vs_recent_only,F11,B2,rmse_ugm3,50.73781038231981,50.67266713301023,0.06514324930957827,0.12839192077606526,True
168h_6h,2060,M_vs_recent_only,F11,B2,mae_ugm3,33.44209410429822,33.51127813129739,-0.06918402699916726,-0.20687707768358687,False
168h_6h,2060,M_vs_recent_only,F11,B2,smape_percent,51.892042354661804,51.41362488269118,0.4784174719706229,0.921947663383196,True
168h_6h,2060,M_vs_flat,F11,B_flat,rmse_ugm3,50.61998059919248,50.67266713301023,-0.05268653381774868,-0.104082485204645,False
168h_6h,2060,M_vs_flat,F11,B_flat,mae_ugm3,33.482455886099196,33.51127813129739,-0.02882224519819232,-0.08608163420341684,False
168h_6h,2060,M_vs_flat,F11,B_flat,smape_percent,51.82227558442064,51.41362488269118,0.4086507017294565,0.7885618628686955,True
168h_6h,2060,M_vs_uniform_gate,F11,B3,rmse_ugm3,50.827462316382885,50.67266713301023,0.15479518337265574,0.3045502889935971,True
168h_6h,2060,M_vs_uniform_gate,F11,B3,mae_ugm3,33.64862542676141,33.51127813129739,0.1373472954640249,0.4081809991405768,True
168h_6h,2060,M_vs_uniform_gate,F11,B3,smape_percent,52.23668370278604,51.41362488269118,0.8230588200948574,1.5756337534324747,True
168h_6h,2061,adapter_gain_without_spatial,F01,F00,rmse_ugm3,50.97410899834434,50.6418188531745,0.3322901451698428,0.651880242145352,True
168h_6h,2061,adapter_gain_without_spatial,F01,F00,mae_ugm3,33.5141211990374,33.03687049874482,0.4772507002925792,1.4240286876634167,True
168h_6h,2061,adapter_gain_without_spatial,F01,F00,smape_percent,50.36218597868972,50.48771075686772,-0.12552477817799712,-0.2492441019758589,False
168h_6h,2061,spatial_gain_without_adapter,F10,F00,rmse_ugm3,50.97410899834434,50.4575367234481,0.5165722748962409,1.0134012836065842,True
168h_6h,2061,spatial_gain_without_adapter,F10,F00,mae_ugm3,33.5141211990374,33.34457067014429,0.1695505288931045,0.505907727331291,True
168h_6h,2061,spatial_gain_without_adapter,F10,F00,smape_percent,50.36218597868972,50.2400973140232,0.12208866466652069,0.24242129743570173,True
168h_6h,2061,M_vs_locked_ST,F11,F10,rmse_ugm3,50.4575367234481,50.225432570770806,0.23210415267729445,0.4599989768613366,True
168h_6h,2061,M_vs_locked_ST,F11,F10,mae_ugm3,33.34457067014429,32.93907576048917,0.40549490965512547,1.2160747657134874,True
168h_6h,2061,M_vs_locked_ST,F11,F10,smape_percent,50.2400973140232,50.437532467695135,-0.19743515367193254,-0.3929832230178099,False
168h_6h,2061,combined_vs_degraded,F11,F00,rmse_ugm3,50.97410899834434,50.225432570770806,0.7486764275735354,1.4687386249318308,True
168h_6h,2061,combined_vs_degraded,F11,F00,mae_ugm3,33.5141211990374,32.93907576048917,0.57504543854823,1.715830276834908,True
168h_6h,2061,combined_vs_degraded,F11,F00,smape_percent,50.36218597868972,50.437532467695135,-0.07534648900541185,-0.1496092505541638,False
168h_6h,2061,M_vs_self_history,F11,B1,rmse_ugm3,50.27067907922985,50.225432570770806,0.04524650845904432,0.09000576337497429,True
168h_6h,2061,M_vs_self_history,F11,B1,mae_ugm3,32.98530070716925,32.93907576048917,0.046224946680084145,0.1401380181143454,True
168h_6h,2061,M_vs_self_history,F11,B1,smape_percent,50.471841605178966,50.437532467695135,0.03430913748383091,0.06797678941897459,True
168h_6h,2061,M_vs_recent_only,F11,B2,rmse_ugm3,50.18109910639911,50.225432570770806,-0.04433346437169661,-0.0883469377139314,False
168h_6h,2061,M_vs_recent_only,F11,B2,mae_ugm3,32.92470549515185,32.93907576048917,-0.014370265337319665,-0.043645843208637604,False
168h_6h,2061,M_vs_recent_only,F11,B2,smape_percent,50.23925040556739,50.437532467695135,-0.19828206212774546,-0.39467559831619686,False
168h_6h,2061,M_vs_flat,F11,B_flat,rmse_ugm3,50.20105861990497,50.225432570770806,-0.02437395086583649,-0.04855266310294919,False
168h_6h,2061,M_vs_flat,F11,B_flat,mae_ugm3,33.11184893847881,32.93907576048917,0.1727731779896402,0.5217865613927193,True
168h_6h,2061,M_vs_flat,F11,B_flat,smape_percent,50.02945826409412,50.437532467695135,-0.40807420360101787,-0.8156678440267874,False
168h_6h,2061,M_vs_uniform_gate,F11,B3,rmse_ugm3,50.27774077853709,50.225432570770806,0.052308207766280646,0.10403850084809367,True
168h_6h,2061,M_vs_uniform_gate,F11,B3,mae_ugm3,32.96452110442356,32.93907576048917,0.02544534393439335,0.07719009129175185,True
168h_6h,2061,M_vs_uniform_gate,F11,B3,smape_percent,50.551661865438355,50.437532467695135,0.11412939774321984,0.22576784527285526,True
168h_6h,2062,adapter_gain_without_spatial,F01,F00,rmse_ugm3,51.47266686584198,51.34632672301612,0.12634014282586037,0.24545093642641927,True
168h_6h,2062,adapter_gain_without_spatial,F01,F00,mae_ugm3,33.615005963249224,33.3976257388454,0.21738022440382565,0.6466761441050588,True
168h_6h,2062,adapter_gain_without_spatial,F01,F00,smape_percent,51.24144295486036,51.13837587355965,0.10306708130070774,0.2011400838018977,True
168h_6h,2062,spatial_gain_without_adapter,F10,F00,rmse_ugm3,51.47266686584198,50.968045526216166,0.5046213396258139,0.9803675821597813,True
168h_6h,2062,spatial_gain_without_adapter,F10,F00,mae_ugm3,33.615005963249224,33.46121260857974,0.15379335466948163,0.45751398895368806,True
