schema_version,condition,task,seed,arm,training_rng_seed,best_epoch,best_valid_loss,training_seconds,parameter_count,backbone_parameter_count,parameter_increment,initial_backbone_hash,prior_mode,tau,tau_applied,prior_only_rmse_raw,prior_only_mae_raw,prior_only_per_step_rmse_raw,mse_scaled,rmse_scaled,mae_scaled,rmse_raw,mae_raw,smape_percent,per_step_rmse_raw,prediction_artifact
ccsprf-l0-v2,calendar_on,24h_1h,20260948,CCSPRF,21260951,21,0.364516943693161,4.628896091999195,16646,16646,0,f07440c5927089d42ce1f992e3f241a18b4c419622d6b9da41fd52ff860b0cba,calendar,50.0,True,1.1791279315948486,0.9321626424789429,[1.1791279315948486],0.37705886363983154,0.6140511631965637,0.48890751600265503,0.8761097192764282,0.6975585222244263,7.117241859436035,[0.8761097192764282],predictions/calendar_on/24h_1h/seed20260948/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260948,EMB,21260951,40,0.3477044999599457,6.565959183000814,16770,16646,124,f07440c5927089d42ce1f992e3f241a18b4c419622d6b9da41fd52ff860b0cba,embedding_bias,,False,1.380152702331543,1.0914186239242554,[1.380152702331543],0.35778117179870605,0.5981481075286865,0.47501540184020996,0.8534197211265564,0.6777375936508179,6.905162334442139,[0.8534197211265564],predictions/calendar_on/24h_1h/seed20260948/EMB.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260949,BASE,21260952,9,0.3600922226905823,2.615561341001012,16646,16646,0,ee2b14a47cb79605b8ac3a3b1f3a4d8f79b0410ee24a71c6e6e5e5cb26ad5fe3,none,,False,1.3714449405670166,1.1049647331237793,[1.3714449405670166],0.36142027378082275,0.6011824011802673,0.4775567948818207,0.8459593057632446,0.6719983816146851,6.832929611206055,[0.8459593057632446],predictions/calendar_on/24h_1h/seed20260949/BASE.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260949,CCSPRF-global,21260952,9,0.3600807785987854,2.616654384000867,16646,16646,0,ee2b14a47cb79605b8ac3a3b1f3a4d8f79b0410ee24a71c6e6e5e5cb26ad5fe3,global,,False,1.3714449405670166,1.1049647331237793,[1.3714449405670166],0.36141136288642883,0.6011750102043152,0.4775503873825073,0.8459488749504089,0.671989381313324,6.832841873168945,[0.8459488749504089],predictions/calendar_on/24h_1h/seed20260949/CCSPRF-global.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260949,CCSPRF,21260952,7,0.35844090580940247,2.3170050389999233,16646,16646,0,ee2b14a47cb79605b8ac3a3b1f3a4d8f79b0410ee24a71c6e6e5e5cb26ad5fe3,calendar,50.0,True,1.1119426488876343,0.8874797224998474,[1.1119426488876343],0.36058902740478516,0.6004906296730042,0.47764894366264343,0.844985842704773,0.6721280813217163,6.82523775100708,[0.844985842704773],predictions/calendar_on/24h_1h/seed20260949/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260949,EMB,21260952,40,0.3342815339565277,6.563898516997142,16770,16646,124,ee2b14a47cb79605b8ac3a3b1f3a4d8f79b0410ee24a71c6e6e5e5cb26ad5fe3,embedding_bias,,False,1.2515801191329956,1.0030795335769653,[1.2515801191329956],0.3274398446083069,0.5722236037254333,0.45376667380332947,0.8052096366882324,0.6385218501091003,6.49638032913208,[0.8052096366882324],predictions/calendar_on/24h_1h/seed20260949/EMB.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260950,BASE,21260953,18,0.39344143867492676,4.10893939000016,16646,16646,0,4967d37dfbc825e1cc3a46981912adb28f4a0713966043444b1aac7dfad77193,none,,False,1.3914815187454224,1.1237273216247559,[1.3914815187454224],0.37602201104164124,0.6132063269615173,0.4934849441051483,0.8694998621940613,0.6997402310371399,7.131805896759033,[0.8694998621940613],predictions/calendar_on/24h_1h/seed20260950/BASE.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260950,CCSPRF-global,21260953,18,0.39343443512916565,4.140983920999133,16646,16646,0,4967d37dfbc825e1cc3a46981912adb28f4a0713966043444b1aac7dfad77193,global,,False,1.3914815187454224,1.1237273216247559,[1.3914815187454224],0.37602004408836365,0.6132047176361084,0.49348312616348267,0.8694975972175598,0.6997376084327698,7.13178014755249,[0.8694975972175598],predictions/calendar_on/24h_1h/seed20260950/CCSPRF-global.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260950,CCSPRF,21260953,3,0.3887730538845062,1.7048956270009512,16646,16646,0,4967d37dfbc825e1cc3a46981912adb28f4a0713966043444b1aac7dfad77193,calendar,50.0,True,1.1314212083816528,0.9087419509887695,[1.1314212083816528],0.3729362189769745,0.6106850504875183,0.4939151406288147,0.8659248352050781,0.7003502249717712,7.14053201675415,[0.8659248352050781],predictions/calendar_on/24h_1h/seed20260950/CCSPRF.npz
ccsprf-l0-v2,calendar_on,24h_1h,20260950,EMB,21260953,40,0.36350110173225403,6.385597263000818,16770,16646,124,4967d37dfbc825e1cc3a46981912adb28f4a0713966043444b1aac7dfad77193,embedding_bias,,False,1.299299716949463,1.047224998474121,[1.299299716949463],0.35077840089797974,0.5922654867172241,0.47647354006767273,0.8398066759109497,0.6756186485290527,6.897126197814941,[0.8398066759109497],predictions/calendar_on/24h_1h/seed20260950/EMB.npz
