scope,task,fold,model,alpha,inner_fit_samples,inner_validation_samples,rmse_all,mae_all,smape_all_percent,selected
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,0.01,4327,765,38.74227883779881,23.31884719395434,60.17722898956218,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,0.1,4327,765,38.74202937163782,23.31852821921749,60.17671953826874,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,1.0,4327,765,38.739591614079245,23.31538777079137,60.17283104318851,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,10.0,4327,765,38.71963280101753,23.288796476460814,60.14072494504573,False
selection_interval_L0_not_test_not_neural,168h_6h,4,R_lag,100.0,4327,765,38.65748831020175,23.148896450710296,59.96297990103686,True
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,0.0001,5049,892,47.77523609671617,29.036843520648272,59.214623514523254,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,0.001,5049,892,47.77523582889662,29.036844570908176,59.21462846618147,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,0.01,5049,892,47.77523315083567,29.03685507344659,59.21467798178168,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,0.1,5049,892,47.775206383679645,29.036960092775807,59.21517303959787,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,1.0,5049,892,47.77494005133486,29.038010545527698,59.22011456372239,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,10.0,5049,892,47.77240478883504,29.04893004180349,59.28053560076232,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,100.0,5049,892,47.75588643920891,29.168424897207665,59.85611682095162,True
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,0.0001,5049,892,48.92394136043354,29.287784186920604,57.582947955884165,True
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,0.001,5049,892,48.92394157730421,29.287783085457075,57.58294013642177,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,0.01,5049,892,48.923943746259475,29.287772111377453,57.58286234954547,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,0.1,5049,892,48.923965460661755,29.2876632770927,57.582091240343345,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,1.0,5049,892,48.92418508047388,29.286577641231865,57.57442942099175,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,10.0,5049,892,48.926619976173335,29.276616811656034,57.50156286659013,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,100.0,5049,892,48.96813296462356,29.22983250017243,57.27461412913528,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,0.0001,5049,892,47.874390661633306,28.580750188033214,63.10602606063333,True
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,0.001,5049,892,47.8743909158459,28.580749169593346,63.106014587482015,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,0.01,5049,892,47.87439346939924,28.580738988876863,63.105899887036884,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,0.1,5049,892,47.87442014286529,28.58063995713138,63.10475801474313,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,1.0,5049,892,47.87479603646457,28.57981472344896,63.09253145649184,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,10.0,5049,892,47.88614013731093,28.576197829743798,62.91936514683651,False
selection_interval_L0_not_test_not_neural,168h_6h,5,R_lag,100.0,5049,892,48.10386280623119,28.63168132874909,62.53515184641455,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,0.0001,2226,393,14.217279432250518,8.969074880661374,22.87733382871781,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,0.001,2226,393,14.217278087852556,8.969075299870598,22.87733907819893,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,0.01,2226,393,14.217264645105367,8.969079492065585,22.87739157053901,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,0.1,2226,393,14.217130340792542,8.969121424282642,22.877916247015726,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,1.0,2226,393,14.215799530247807,8.969541767425362,22.88313851800202,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,10.0,2226,393,14.20363684317137,8.973841833317888,22.933095024724658,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,100.0,2226,393,14.151364716083009,9.1071500096357,23.520553466482642,True
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,0.0001,2226,393,15.359389435469078,9.887587532295184,26.528237563558587,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,0.001,2226,393,15.359382685475394,9.887584435541315,26.528237652407725,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,0.01,2226,393,15.359315191752302,9.887553470204383,26.528238542489145,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,0.1,2226,393,15.358640875517448,9.887244036895304,26.52824760221368,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,1.0,2226,393,15.351959438656875,9.884171598216291,26.528354012973477,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,10.0,2226,393,15.290964191715453,9.85848757692932,26.53754936684722,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,100.0,2226,393,15.040684025097866,9.852272133339456,26.932405805126198,True
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,0.0001,2226,393,15.517293623341866,10.184918412035792,27.758395196907788,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,0.001,2226,393,15.51728306244905,10.184909110728078,27.75835270673242,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,0.01,2226,393,15.517177480913883,10.184816124718253,27.757927955625185,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,0.1,2226,393,15.516124392880311,10.183888959011242,27.753695439257754,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,1.0,2226,393,15.50585488031642,10.174874977980668,27.71280314042902,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,10.0,2226,393,15.42192029350614,10.105098951889705,27.432650851157426,False
selection_interval_L0_not_test_not_neural,24h_1h,1,R_lag,100.0,2226,393,15.133779008425142,9.954458007175985,27.06898923176091,True
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,0.0001,2968,524,12.01401028091939,7.894586094081042,19.474138688084164,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,0.001,2968,524,12.014010066127398,7.89458692702169,19.474146138486063,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,0.01,2968,524,12.014007918774796,7.8945952564374435,19.474220639844113,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,0.1,2968,524,12.013986501958174,7.8946785515188695,19.47496538753445,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,1.0,2968,524,12.013777981221748,7.895521741394317,19.48239675223852,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,10.0,2968,524,12.01223501284819,7.90435704797363,19.5545621683451,True
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,100.0,2968,524,12.03553130437405,8.01887713443886,20.232382641488226,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,0.0001,2968,524,11.582384937370273,7.626931469165751,19.1344838923808,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,0.001,2968,524,11.582384471302234,7.626931609130685,19.134485936678573,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,0.01,2968,524,11.582379811492029,7.626933008870137,19.134506377722012,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,0.1,2968,524,11.58233330037172,7.626947015275322,19.13471059495727,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,1.0,2968,524,11.581876852780054,7.627087977461147,19.136733666204954,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,10.0,2968,524,11.578145521257253,7.629009903324097,19.157153498960323,True
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,100.0,2968,524,11.600485352268883,7.696876970492413,19.387354040227653,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,0.0001,2968,524,11.513610147162865,7.654563963164471,19.635710614034338,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,0.001,2968,524,11.51360957525458,7.65456344723664,19.635705705461802,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,0.01,2968,524,11.513603857073905,7.654558288855653,19.635656629049254,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,0.1,2968,524,11.513546765409231,7.654506794616017,19.635166794109026,False
