scope,task,fold,model,alpha,horizon_step,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,4,33.0131112964899,24.161509252512978,46.0129384323095
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,5,34.948840576312534,26.19344422736066,48.339022833850755
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.0001,6,36.48947705141808,27.656616180438636,49.95672654771649
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,1,15.929772736541405,9.836173988812808,23.568294975562992
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,2,24.91667343670818,16.232984512640474,34.016461634593206
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,3,29.57220065801513,20.559044270208847,40.7531211801308
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,4,33.013106857724,24.161507504512148,46.01293926896402
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,5,34.948837754086725,26.19344196401149,48.339016204364285
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.001,6,36.489470420648146,27.656615334865812,49.95673448386471
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,1,15.929756242850628,9.836166143844626,23.568133002040327
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,2,24.916648276157524,16.232986522312125,34.016465858267175
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,3,29.57217205846729,20.559030876778518,40.753098039462834
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,4,33.01306247467358,24.16149002478419,46.01294762336509
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,5,34.94880953582939,26.193419329489437,48.33894989891985
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.01,6,36.489404124689855,27.656606878537247,49.95681382854032
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,1,15.929591618235891,9.836087882743422,23.566516162826282
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,2,24.91639665861274,16.233006665106725,34.01650861562562
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,3,29.571886192944618,20.558897070680622,40.7528670434386
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,4,33.012619104083555,24.16131525589425,46.0130299575345
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,5,34.948527751989424,26.19319288184241,48.338285791045564
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,0.1,6,36.48874233716225,27.65652225559765,49.957605599467826
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,1,15.927976058979251,9.835323621172073,23.550631900736388
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,2,24.913879401065113,16.23321243604541,34.01698671210186
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,3,29.569040482073188,20.55757160975164,40.75059708433819
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,4,33.008230472007035,24.15957074370681,46.013736707421735
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,5,34.945748487879605,26.19091875704638,48.33154378159023
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,1.0,6,36.48223966657454,27.655670415857568,49.965360370885016
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,1,15.914442045027311,9.830269475593209,23.41671570796035
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,2,24.888711562718527,16.235522427267718,34.02568207073204
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,3,29.54183123075762,20.545410657026103,40.731113916587546
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,4,32.96812750800546,24.142669515869674,46.0124548004036
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,5,34.92087227985738,26.167657309508126,48.25732265596233
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,10.0,6,36.42708354487862,27.646858853773594,50.02574149519664
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,1,15.894417358408651,9.89167378795932,23.2407632948038
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,2,24.681964981516607,16.326002893598883,34.382567400081335
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,3,29.362055125237905,20.54274215851867,40.50877383453671
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,4,32.72781186896902,24.060082358770245,45.70006176365625
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,5,34.7632161921717,26.015715550923947,47.5915914938836
selection_interval_L0_not_test_not_neural,168h_6h,1,R_lag,100.0,6,36.25840480357909,27.626826890038206,49.86824075694323
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,1,12.473657538292018,8.39392183690241,18.5952430898049
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,2,21.069965356255018,14.57419153720335,29.1039929619599
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,3,27.759135664319935,19.523510917116788,35.83282322392313
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,4,32.78141807186804,23.60927325986159,40.86834203676097
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,5,36.49066738461764,26.77814723788803,44.50089138996318
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.0001,6,39.20749177364561,29.213409711404637,47.82982120526684
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,1,12.473658009993292,8.393922925365558,18.595246452320545
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,2,21.069965642455152,14.574192649681052,29.10399582489004
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,3,27.75913556083064,19.52351147079501,35.83282425043488
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,4,32.781417761654055,23.609273691881576,40.8683430023011
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,5,36.490666988326524,26.778147394668977,44.50089000408168
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.001,6,39.20749145188096,29.2134098391465,47.82982158462756
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,1,12.473662727452798,8.393933809932014,18.595280076600133
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,2,21.069968504718247,14.574203774361344,29.104024453583854
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,3,27.759134526198817,19.52351700759369,35.83283451538623
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,4,32.781414659712404,23.609278012097352,40.8683526576043
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,5,36.49066302554797,26.778148962491898,44.50087614636426
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.01,6,39.20748823428724,29.213411116580506,47.82982537816119
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,1,12.473709946707308,8.394042649095232,18.595616231832743
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,2,21.069997153510762,14.574315011493125,29.104310679794406
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,3,27.7591242059815,19.52357237722002,35.83293714829131
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,4,32.781383660105114,23.609321215845686,40.86844920084153
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,5,36.4906234110187,26.778164642069584,44.50073767888409
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,0.1,6,39.20745606361598,29.21342389245948,47.829863306144766
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,1,12.474186585267182,8.39513039214474,18.59896914990476
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,2,21.070286246236858,14.575426418895757,29.10716690849217
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,3,27.759023603327385,19.524126236880683,35.83396182952921
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,4,32.78107563794618,23.609753411790443,40.86941365802304
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,5,36.49022858739332,26.778419641861163,44.50261932152473
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,1.0,6,39.207134882597074,29.21355180466585,47.83024185231786
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,1,12.47937856483448,8.405944462659678,18.63174382619825
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,2,21.073426809981456,14.586447188155162,29.13516258224596
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,3,27.75826739551327,19.529680628564794,35.84405604042141
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,4,32.77818606989352,23.61409064392528,40.87896478209655
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,5,36.48640869680602,26.781505364166307,44.527824592440126
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,10.0,6,39.20397476031131,29.21484580968024,47.83395552193437
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,1,12.56112526420161,8.529277738127671,18.989192994072795
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,2,21.12246337983255,14.696642942976776,29.295144890458037
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,3,27.768640253600974,19.590018172137,35.80153212212075
